,LIVING →,,,,SHIPPING →,,,,TRAVEL →,,
,Electricity from Grid (kWh),Propane (kWh),Generator Fuel (Litres),Hotel (Room-days),Air (tonne-km),Freight Train (tonne-km),Truck (tonne-km),Sea (tonne-km),Plane (km),Car (km),Train (km)
,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
